date,open,high,low,close,volume
2021-03-26 09:40:00,73.95,73.95,73.95,73.95,7527981
2021-03-26 09:45:00,73.95,73.95,73.95,73.95,0
2021-03-26 09:50:00,73.95,73.95,73.95,73.95,0
2021-03-26 09:55:00,73.95,73.95,73.95,73.95,0
2021-03-26 10:00:00,73.8,78.6,72.9,77.65,10675177
2021-03-26 10:05:00,77.95,80.95,77.3,80.25,6422853
2021-03-26 10:10:00,80.2,80.75,78.65,79.4,2427641
2021-03-26 10:15:00,79.2,81.0,79.1,80.35,2167410
2021-03-26 10:20:00,80.3,81.0,79.55,80.3,1751445
2021-03-26 10:25:00,80.3,80.7,78.3,78.75,1649742
2021-03-26 10:30:00,78.65,79.7,78.65,79.4,632926
2021-03-26 10:35:00,79.4,79.75,77.9,78.65,906787
2021-03-26 10:40:00,78.6,78.8,77.65,78.25,596753
2021-03-26 10:45:00,78.3,78.5,77.8,78.5,385540
2021-03-26 10:50:00,78.5,78.8,78.35,78.5,307964
2021-03-26 10:55:00,78.45,78.5,78.0,78.2,289326
2021-03-26 11:00:00,78.1,78.2,77.3,77.6,561181
2021-03-26 11:05:00,77.55,78.0,77.5,77.8,210323
2021-03-26 11:10:00,77.9,78.25,77.85,78.05,295324
2021-03-26 11:15:00,78.0,78.3,77.85,78.2,184722
2021-03-26 11:20:00,78.2,78.4,77.85,78.2,253739
2021-03-26 11:25:00,78.25,78.45,77.8,78.0,335757
2021-03-26 11:30:00,78.0,78.0,77.5,77.55,248864
2021-03-26 11:35:00,77.55,77.55,76.5,77.2,828846
2021-03-26 11:40:00,77.1,77.3,77.0,77.3,185347
2021-03-26 11:45:00,77.25,78.2,77.25,77.75,351476
2021-03-26 11:50:00,77.7,77.75,77.1,77.2,221752
2021-03-26 11:55:00,77.2,77.3,75.95,75.95,740186
2021-03-26 12:00:00,75.95,76.2,75.4,75.8,779748
2021-03-26 12:05:00,75.85,76.45,75.45,76.45,458518
2021-03-26 12:10:00,76.4,76.4,76.0,76.3,238255
2021-03-26 12:15:00,76.25,76.65,76.1,76.35,251068
2021-03-26 12:20:00,76.3,76.8,76.3,76.7,362173
2021-03-26 12:25:00,76.7,76.95,76.25,76.45,310760
2021-03-26 12:30:00,76.45,76.5,76.1,76.35,128616
2021-03-26 12:35:00,76.25,76.6,76.25,76.5,135227
2021-03-26 12:40:00,76.5,76.55,76.1,76.15,178604
2021-03-26 12:45:00,76.2,76.45,76.15,76.4,118613
2021-03-26 12:50:00,76.4,76.8,76.35,76.5,169257
2021-03-26 12:55:00,76.55,76.55,76.15,76.35,147415
