date,open,high,low,close,volume
2021-04-19 09:40:00,218.0,218.0,218.0,218.0,1661960
2021-04-19 09:45:00,218.0,218.0,218.0,218.0,0
2021-04-19 09:50:00,218.0,218.0,218.0,218.0,0
2021-04-19 09:55:00,218.0,218.0,218.0,218.0,0
2021-04-19 10:00:00,213.1,231.93,211.3,228.0,2165390
2021-04-19 10:05:00,228.35,236.48,227.75,229.45,1209524
2021-04-19 10:10:00,229.15,234.98,228.15,233.68,350158
2021-04-19 10:15:00,233.53,234.23,230.78,232.33,226444
2021-04-19 10:20:00,232.15,232.93,230.58,231.83,512104
2021-04-19 10:25:00,231.7,232.08,228.33,230.63,330322
2021-04-19 10:30:00,230.63,232.5,230.63,231.68,219596
2021-04-19 10:35:00,231.68,232.5,231.1,231.28,123678
2021-04-19 10:40:00,231.4,234.0,229.2,230.1,310182
2021-04-19 10:45:00,230.38,231.8,230.13,231.18,130986
2021-04-19 10:50:00,231.18,231.5,229.35,231.0,131014
2021-04-19 10:55:00,231.03,231.83,230.33,231.3,116912
2021-04-19 11:00:00,231.23,231.5,230.5,231.03,125868
2021-04-19 11:05:00,231.08,232.0,230.1,231.25,631278
2021-04-19 11:10:00,231.25,234.68,231.0,233.43,752462
2021-04-19 11:15:00,233.5,233.85,232.0,233.58,192436
2021-04-19 11:20:00,233.58,237.0,232.0,232.0,607466
2021-04-19 11:25:00,232.33,234.0,232.03,233.4,188824
2021-04-19 11:30:00,233.35,235.0,233.0,234.65,189650
2021-04-19 11:35:00,234.68,235.95,234.0,235.73,152782
2021-04-19 11:40:00,235.58,237.5,234.68,237.2,325880
2021-04-19 11:45:00,237.23,237.5,233.3,234.28,452802
2021-04-19 11:50:00,234.3,235.38,231.53,232.83,163396
2021-04-19 11:55:00,232.83,235.58,232.83,235.4,150596
2021-04-19 12:00:00,235.43,236.45,235.0,235.25,182776
2021-04-19 12:05:00,235.58,237.98,235.25,236.4,356600
2021-04-19 12:10:00,236.48,236.68,235.6,236.68,269956
2021-04-19 12:15:00,236.68,236.7,235.0,235.0,335428
2021-04-19 12:20:00,235.03,235.23,232.38,232.9,294904
2021-04-19 12:25:00,233.0,235.95,232.9,235.5,148644
2021-04-19 12:30:00,235.2,236.5,234.1,235.83,151954
2021-04-19 12:35:00,235.33,236.5,233.08,233.73,275854
2021-04-19 12:40:00,233.83,236.35,233.65,236.0,151138
2021-04-19 12:45:00,235.7,236.5,234.63,234.65,246168
2021-04-19 12:50:00,234.65,236.0,234.65,235.28,263520
2021-04-19 12:55:00,235.25,235.33,234.5,235.0,249880
2021-04-19 13:00:00,235.0,235.7,234.5,235.43,180976
2021-04-19 13:05:00,235.45,236.43,235.43,236.28,298694
2021-04-19 13:10:00,236.33,236.5,236.0,236.38,306164
2021-04-19 13:15:00,236.38,236.5,235.63,236.23,160404
2021-04-19 13:20:00,236.0,238.9,235.75,237.58,464448
2021-04-19 13:25:00,238.08,239.0,236.58,237.13,368986
2021-04-19 13:30:00,237.1,238.25,236.23,236.7,263068
2021-04-19 13:35:00,236.75,237.18,236.25,236.98,155766
2021-04-19 13:40:00,236.78,237.5,236.33,236.4,158134
2021-04-19 13:45:00,236.45,237.5,236.28,236.95,165932
2021-04-19 13:50:00,236.95,237.38,236.38,236.55,115336
2021-04-19 13:55:00,236.55,236.95,235.6,235.75,143222
2021-04-19 14:00:00,235.75,236.85,234.55,235.0,340688
2021-04-19 14:05:00,234.88,235.5,234.5,234.95,134000
2021-04-19 14:10:00,234.8,235.4,234.5,235.15,123542
2021-04-19 14:15:00,235.28,235.48,234.53,234.75,116988
2021-04-19 14:20:00,234.65,235.15,234.65,234.9,122532
2021-04-19 14:25:00,234.95,236.35,234.88,235.35,271914
2021-04-19 14:30:00,235.23,235.98,235.0,235.4,130132
2021-04-19 14:35:00,235.4,236.0,235.08,235.5,141124
2021-04-19 14:40:00,235.5,235.7,235.03,235.1,132750
2021-04-19 14:45:00,235.13,235.43,234.03,234.03,330814
2021-04-19 14:50:00,234.2,235.6,234.0,234.95,332966
2021-04-19 14:55:00,234.95,235.45,233.5,234.13,465570
2021-04-19 15:00:00,234.13,235.0,233.6,233.8,263746
2021-04-19 15:05:00,233.8,233.8,225.3,232.13,668384
2021-04-19 15:10:00,232.4,234.48,232.15,234.35,347760
2021-04-19 15:15:00,234.4,234.63,232.7,233.9,325800
2021-04-19 15:20:00,233.75,234.38,231.7,232.45,359044
2021-04-19 15:25:00,232.3,232.5,226.5,228.6,364564
2021-04-20 09:15:00,234.0,237.5,230.4,231.08,279462
2021-04-20 09:20:00,231.08,232.5,228.68,231.78,127894
2021-04-20 09:25:00,231.75,233.0,230.45,232.73,74702
2021-04-20 09:30:00,232.73,235.5,231.68,235.25,132704
2021-04-20 09:35:00,235.2,236.95,234.0,235.3,221940
2021-04-20 09:40:00,235.03,236.13,234.0,235.68,108104
2021-04-20 09:45:00,235.68,236.93,235.58,236.18,104782
2021-04-20 09:50:00,236.3,236.75,235.6,235.73,90120
2021-04-20 09:55:00,235.7,236.85,235.63,236.45,76610
2021-04-20 10:00:00,236.3,236.7,235.6,236.33,49404
2021-04-20 10:05:00,236.4,236.45,235.88,236.2,74514
2021-04-20 10:10:00,236.05,236.25,235.8,236.23,67482
2021-04-20 10:15:00,236.03,236.25,235.85,236.2,64230
2021-04-20 10:20:00,236.2,236.25,235.95,236.03,62616
2021-04-20 10:25:00,236.03,236.25,235.78,236.18,83620
2021-04-20 10:30:00,236.18,236.25,235.7,236.0,76510
2021-04-20 10:35:00,236.2,236.25,235.83,236.25,61684
2021-04-20 10:40:00,236.25,236.25,235.95,236.23,76006
2021-04-20 10:45:00,236.23,236.25,235.78,236.13,109526
2021-04-20 10:50:00,236.13,236.25,236.03,236.25,47582
2021-04-20 10:55:00,236.25,238.5,230.73,232.23,418362
2021-04-20 11:00:00,232.23,233.58,231.25,231.48,74482
2021-04-20 11:05:00,231.43,233.5,231.0,233.08,63706
2021-04-20 11:10:00,233.08,234.85,232.63,234.4,60206
2021-04-20 11:15:00,234.4,235.5,234.05,235.3,60620
2021-04-20 11:20:00,235.3,236.0,234.4,234.93,71916
2021-04-20 11:25:00,234.63,235.95,234.63,235.85,46018
2021-04-20 11:30:00,235.85,236.95,235.35,236.48,84398
2021-04-20 11:35:00,236.48,237.43,236.1,237.18,70988
2021-04-20 11:40:00,236.75,238.85,236.75,237.5,191792
2021-04-20 11:45:00,237.28,242.7,236.93,242.53,323766
